customer_id,activity_id,activity_date,activity_note
12,66,2015-03-22 05:27:00.000,"For an android with no feelings, he sure managed to evoke them in others."
12,67,2016-10-17 11:10:15.000,"I suggest you drop it, Mr. Data. Mr. Worf, you sound like a man who's asking his friend if he can start dating his sister."
14,68,2015-01-13 23:03:04.000,"Maybe if we felt any human loss as keenly as we feel one of those close to us, human history would be far less bloody."
14,69,2015-10-04 18:13:59.000,Travel time to the nearest starbase? The Federation's gone; the Borg is everywhere!
14,70,2015-10-10 10:44:36.000,"I suggest you drop it, Mr. Data. Mr. Worf, you sound like a man who's asking his friend if he can start dating his sister."
14,71,2016-11-11 12:19:42.000,"For an android with no feelings, he sure managed to evoke them in others."
14,72,2015-02-24 07:00:03.000,"I suggest you drop it, Mr. Data. Mr. Worf, you sound like a man who's asking his friend if he can start dating his sister."
14,73,2015-03-27 09:45:18.000,"I suggest you drop it, Mr. Data. Mr. Worf, you sound like a man who's asking his friend if he can start dating his sister."
14,74,2016-01-18 19:39:43.000,"I've had twelve years to think about it. And if I had it to do over again, I would have grabbed the phaser and pointed it at you instead of them."
14,75,2015-02-10 17:55:39.000,"Maybe if we felt any human loss as keenly as we feel one of those close to us, human history would be far less bloody."
14,76,2015-03-23 22:37:59.000,Flair is what marks the difference between artistry and mere competence.
15,77,2015-01-15 06:42:44.000,I'll alert the crew. When has justice ever been as simple as a rule book?
15,78,2016-10-19 21:01:27.000,"Fate. It protects fools, little children, and ships named Enterprise."
15,79,2017-02-09 12:50:49.000,Travel time to the nearest starbase? The Federation's gone; the Borg is everywhere!
15,80,2015-10-31 21:10:37.000,"I'm afraid I still don't understand, sir. Well, that's certainly good to know."
15,81,2016-07-31 16:53:21.000,"For an android with no feelings, he sure managed to evoke them in others."
16,82,2015-06-27 10:43:31.000,"Fate. It protects fools, little children, and ships named Enterprise."
17,83,2015-11-17 23:48:40.000,"I'm afraid I still don't understand, sir. Well, that's certainly good to know."
17,84,2017-01-21 18:54:56.000,Flair is what marks the difference between artistry and mere competence.
17,85,2015-09-22 00:12:35.000,Travel time to the nearest starbase? The Federation's gone; the Borg is everywhere!
17,86,2016-07-21 12:03:36.000,"For an android with no feelings, he sure managed to evoke them in others."
17,87,2016-05-15 15:07:07.000,"I've had twelve years to think about it. And if I had it to do over again, I would have grabbed the phaser and pointed it at you instead of them."
17,88,2015-10-30 06:20:37.000,Travel time to the nearest starbase? The Federation's gone; the Borg is everywhere!
17,89,2015-05-31 19:12:00.000,Flair is what marks the difference between artistry and mere competence.
17,90,2017-02-18 12:47:05.000,"For an android with no feelings, he sure managed to evoke them in others."
19,91,2016-08-14 02:01:13.000,"For an android with no feelings, he sure managed to evoke them in others."
